# Current_Dump_NR_2.csv run at 2013-08-28 00:00:00 PST on 800 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
substation_transformer,4.492454,-2.161426,-3.694943,-1.934116,-0.276599,4.178731
linobj12,0.000000,0.000000,-1.705440,-1.725455,0.000000,0.000000
linobj13,0.000000,0.000000,0.000000,0.000000,-3.066532,11.269832
linobj17,247.357542,-119.978335,-205.418472,-106.693482,-12.438503,222.973327
linobj34,0.000000,0.000000,0.000000,0.000000,-1.214162,4.465887
linobj35,0.000000,0.000000,0.000000,0.000000,-1.852370,6.803945
linobj56,0.000000,0.000000,0.000000,0.000000,-1.212954,4.464768
linobj78,245.108414,-119.358468,-205.418472,-106.693482,-12.438503,222.973327
linobj812,0.000000,0.000000,-1.663331,-1.643470,0.000000,0.000000
linobj89,11.442473,-3.107797,0.000000,0.000000,0.000000,0.000000
linobj813,233.665941,-116.250671,-203.755140,-105.050011,-12.438503,222.973327
linobj140114,6.836332,-1.864806,0.000000,0.000000,0.000000,0.000000
linobj1334,0.000000,0.000000,0.000000,0.000000,-2.936263,11.132111
linobj1318,103.655404,-51.969653,-102.534301,-46.119682,2.717791,91.471899
linobj1411,4.541245,-1.226487,0.000000,0.000000,0.000000,0.000000
linobj1410,2.295087,-0.638319,0.000000,0.000000,0.000000,0.000000
linobj1516,0.000000,0.000000,0.000000,0.000000,-1.177628,4.438949
linobj1517,0.000000,0.000000,0.000000,0.000000,-0.579822,2.253025
linobj1819,8.787311,-2.426887,0.000000,0.000000,0.000000,0.000000
linobj1821,13.397727,-3.711909,-3.252387,-3.231015,-3.532019,13.554324
linobj1920,4.392948,-1.213533,0.000000,0.000000,0.000000,0.000000
linobj2122,0.000000,0.000000,-3.252387,-3.231015,0.000000,0.000000
linobj2123,13.397727,-3.711909,0.000000,0.000000,-3.532019,13.554324
linobj2324,0.000000,0.000000,0.000000,0.000000,-1.164778,4.422115
linobj2325,13.397727,-3.711909,0.000000,0.000000,-2.367241,9.132209
linobj260126,4.498960,-1.247133,0.000000,0.000000,-1.173803,4.597025
linobj2528,8.786292,-2.433598,0.000000,0.000000,-1.164093,4.420259
linobj2627,4.498960,-1.247133,0.000000,0.000000,0.000000,0.000000
linobj2631,0.000000,0.000000,0.000000,0.000000,-1.173803,4.597025
linobj2733,4.498960,-1.247133,0.000000,0.000000,0.000000,0.000000
linobj2829,4.393335,-1.217063,0.000000,0.000000,-1.164093,4.420259
linobj2930,0.000000,0.000000,0.000000,0.000000,-1.164093,4.420259
linobj30250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj3132,0.000000,0.000000,0.000000,0.000000,-0.586874,2.298595
linobj3415,0.000000,0.000000,0.000000,0.000000,-1.757449,6.691974
linobj3536,4.385062,-1.215516,-3.316337,-3.237677,0.000000,0.000000
linobj3540,66.395206,-45.129065,-85.275478,-39.137264,6.249810,77.917575
linobj3637,4.385062,-1.215516,0.000000,0.000000,0.000000,0.000000
