# Volt_Dump_NR_2.csv run at 2013-08-28 00:00:00 PST on 799 powerflow objects (not all are nodes)
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
Node650,138000.000000,0.000000,-69000.000000,-119497.000000,-69000.000000,119497.000000
n3,0.000000,0.000000,0.000000,0.000000,-1205.813608,2124.963149
n8,2424.324872,-33.096737,-1238.069029,-2109.696382,-1201.646672,2118.702155
n13,2412.346903,-44.141962,-1239.756351,-2104.362659,-1194.007083,2113.635626
n14,2483.152071,-34.946938,0.000000,0.000000,0.000000,0.000000
n1401,2484.085749,-34.411375,0.000000,0.000000,0.000000,0.000000
n15,0.000000,0.000000,0.000000,0.000000,-1193.256525,2113.204711
n18,2402.870997,-51.992826,-1240.517021,-2092.114710,-1185.671784,2106.850298
n21,2402.666597,-52.607749,-1240.513012,-2092.165656,-1185.017601,2106.460224
n23,2402.536711,-53.209827,-1240.421291,-2092.441485,-1184.438864,2106.053084
n25,2402.267317,-53.867706,-1240.416459,-2092.731860,-1184.077818,2105.645131
n26,2462.226364,-55.512185,0.000000,0.000000,-1213.397934,2158.127451
n2601,2462.324000,-55.214399,-1271.426871,-2145.050157,-1213.679763,2158.286259
n27,2462.048282,-55.732972,0.000000,0.000000,-1213.459217,2158.047959
n36,2398.101118,-54.447473,-1240.381181,-2085.867017,0.000000,0.000000
n40,2395.924909,-54.904160,-1240.109764,-2083.145880,-1180.148036,2105.259470
n44,2391.131409,-56.239388,-1240.293101,-2077.599434,-1176.113688,2103.660313
n54,2393.490986,-64.425192,-1243.818333,-2100.832623,-1185.052492,2105.357786
n57,2385.588491,-74.371050,-1244.550424,-2097.256505,-1181.231703,2101.440051
n61,2368.759935,-95.937274,-1245.837262,-2090.316648,-1172.886069,2092.734706
n67,2421.952561,-107.653870,-1278.211886,-2140.827918,-1200.188253,2140.266326
n6701,2427.978933,-98.335706,-1276.983193,-2142.574564,-1202.208221,2145.053074
n72,2417.992631,-113.549532,-1278.560325,-2139.582277,-1198.891896,2137.957534
n78,2414.553068,-118.301293,-1279.254959,-2138.114939,-1197.954000,2136.165650
n81,2414.739485,-118.915995,-1278.894180,-2137.999977,-1196.383876,2135.666283
n89,2403.707892,-137.177192,-1283.895368,-2141.963547,-1201.939558,2128.972433
n91,2403.630655,-137.275229,-1283.941175,-2141.812989,-1201.812052,2128.937603
n93,2403.450119,-137.368912,-1284.075542,-2141.653751,-1201.907476,2128.938650
n97,2421.449061,-108.293762,-1278.351612,-2140.433179,-1199.750017,2140.084952
