# file...... gld_cosim_right_2.csv
# date...... Tue Oct 28 21:01:10 2025
# user...... (null)
# host...... (null)
# target.... meter 3
# trigger... (none)
# interval.. 60
# limit..... 20
# timestamp,measured_voltage_A,measured_power_A,measured_voltage_B,measured_power_B,measured_voltage_C,measured_power_C
2013-08-28 00:00:00 PST,+138000+0i,+821474+316277i,-69000-119497j,+687152+310209j,-69000+119497j,+724983+257580j
2013-08-28 00:01:00 PST,+140914+12863.3j,+847825+328018j,-59316.9-128467j,+705836+319636j,-81596.7+115603j,+748375+267512j
2013-08-28 00:02:00 PST,+140914+12863.3j,+840976+324821j,-59316.9-128467j,+700773+316800j,-81596.7+115603j,+742532+264797j
2013-08-28 00:03:00 PST,+140914+12863.3j,+834682+322576j,-59316.9-128467j,+696382+314463j,-81596.7+115603j,+738176+262999j
2013-08-28 00:04:00 PST,+140914+12863.3j,+835714+322131j,-59316.9-128467j,+696735+314271j,-81596.7+115603j,+737933+262441j
2013-08-28 00:05:00 PST,+140914+12863.3j,+834783+321272j,-59316.9-128467j,+692331+311937j,-81596.7+115603j,+733562+260643j
2013-08-28 00:06:00 PST,+140914+12863.3j,+829653+319798j,-59316.9-128467j,+689395+310993j,-81596.7+115603j,+729211+258709j
2013-08-28 00:07:00 PST,+140914+12863.3j,+823522+317464j,-59316.9-128467j,+681901+307839j,-81596.7+115603j,+722871+256853j
2013-08-28 00:08:00 PST,+140914+12863.3j,+818479+315976j,-59316.9-128467j,+679122+306660j,-81596.7+115603j,+720038+255419j
2013-08-28 00:09:00 PST,+140914+12863.3j,+817587+315652j,-59316.9-128467j,+678080+306753j,-81596.7+115603j,+718216+255163j
2013-08-28 00:10:00 PST,+140914+12863.3j,+813588+314595j,-59316.9-128467j,+676575+306302j,-81596.7+115603j,+716007+254517j
2013-08-28 00:11:00 PST,+140914+12863.3j,+818063+315814j,-59316.9-128467j,+677643+306585j,-81596.7+115603j,+718552+255413j
2013-08-28 00:12:00 PST,+140914+12863.3j,+819416+316840j,-59316.9-128467j,+678655+306881j,-81596.7+115603j,+720768+256033j
2013-08-28 00:13:00 PST,+140914+12863.3j,+818788+316729j,-59316.9-128467j,+679815+307189j,-81596.7+115603j,+721284+255945j
2013-08-28 00:14:00 PST,+140914+12863.3j,+821300+317072j,-59316.9-128467j,+681044+307580j,-81596.7+115603j,+722147+256251j
2013-08-28 00:15:00 PST,+140914+12863.3j,+825957+318331j,-59316.9-128467j,+682203+307889j,-81596.7+115603j,+724837+257183j
2013-08-28 00:16:00 PST,+140914+12863.3j,+824386+318426j,-59316.9-128467j,+681519+307701j,-81596.7+115603j,+724724+257148j
2013-08-28 00:17:00 PST,+140914+12863.3j,+820629+317420j,-59316.9-128467j,+680879+307530j,-81596.7+115603j,+722745+256403j
2013-08-28 00:18:00 PST,+140914+12863.3j,+820139+316696j,-59316.9-128467j,+680371+307387j,-81596.7+115603j,+721222+255988j
2013-08-28 00:19:00 PST,+140914+12863.3j,+821677+317064j,-59316.9-128467j,+679731+307217j,-81596.7+115603j,+721425+256266j
2013-08-28 00:20:00 PST,+140914+12863.3j,+820020+317029j,-59316.9-128467j,+679002+306980j,-81596.7+115603j,+721248+256166j
# end of tape
