# file...... 1c_IEEE_123_feeder_0_EV1.csv
# date...... Wed Dec  3 16:00:18 2025
# user...... (null)
# host...... (null)
# target.... load 818
# trigger... (none)
# interval.. 1200
# limit..... 0
# timestamp,measured_voltage_C,constant_power_C,measured_frequency_C
2013-08-28 00:00:00 PST,+2413.65+118.684d,+200000+0j,+60
2013-08-28 00:20:00 PST,+2414.68+128.713d,+200000+0j,+60
2013-08-28 00:40:00 PST,+2429.22+129.1d,+200000+0j,+60
2013-08-28 01:00:00 PST,+2429.54+129.105d,+200000+0j,+60
2013-08-28 01:20:00 PST,+2436.3+129.303d,+200000+0j,+60
2013-08-28 01:40:00 PST,+2436.35+129.304d,+200000+0j,+60
2013-08-28 02:00:00 PST,+2436.52+129.307d,+200000+0j,+60
2013-08-28 02:20:00 PST,+2436.56+129.308d,+200000+0j,+60
2013-08-28 02:40:00 PST,+2435.98+129.299d,+200000+0j,+60
2013-08-28 03:00:00 PST,+2434.22+129.314d,+200000+0j,+60
2013-08-28 03:20:00 PST,+2434.75+129.32d,+200000+0j,+60
2013-08-28 03:40:00 PST,+2443.81+129.232d,+200000+0j,+60
2013-08-28 04:00:00 PST,+2436.42+129.305d,+200000+0j,+60
