# Current_Dump_NR.csv run at 2013-08-28 00:00:00 PST on 804 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
substation_transformer,8.520328,-2.233155,-5.872798,-4.860277,-3.103275,9.955715
linobj12,0.000000,0.000000,-43.008688,-72.333152,0.000000,0.000000
linobj13,0.000000,0.000000,0.000000,0.000000,-82.342413,156.496602
linobj17,473.152680,-123.979461,-286.197175,-200.114809,-91.614937,401.581497
linobj34,0.000000,0.000000,0.000000,0.000000,-1.142905,4.441995
linobj35,0.000000,0.000000,0.000000,0.000000,-81.199508,152.054607
linobj56,0.000000,0.000000,0.000000,0.000000,-1.110460,4.422838
linobj78,470.913613,-123.340839,-286.197175,-200.114809,-91.614937,401.581497
linobj812,0.000000,0.000000,-1.661199,-1.633925,0.000000,0.000000
linobj89,11.372447,-3.233665,0.000000,0.000000,0.000000,0.000000
linobj813,459.541166,-120.107174,-284.535976,-198.480884,-91.614937,401.581497
linobj140114,6.794393,-1.939980,0.000000,0.000000,0.000000,0.000000
linobj1334,0.000000,0.000000,0.000000,0.000000,-2.711151,11.053917
linobj1318,159.330389,-37.646781,-138.904693,-70.084779,-7.256762,113.166179
linobj1411,4.513532,-1.276461,0.000000,0.000000,0.000000,0.000000
linobj1410,2.280861,-0.663519,0.000000,0.000000,0.000000,0.000000
linobj1516,0.000000,0.000000,0.000000,0.000000,-1.087785,4.407890
linobj1517,0.000000,0.000000,0.000000,0.000000,-0.534429,2.236945
linobj1819,8.702926,-2.584840,0.000000,0.000000,0.000000,0.000000
linobj1821,13.268766,-3.952662,-3.247414,-3.202957,-3.239723,13.442563
linobj1920,4.350757,-1.292496,0.000000,0.000000,0.000000,0.000000
linobj2122,0.000000,0.000000,-3.247414,-3.202957,0.000000,0.000000
linobj2123,13.268766,-3.952662,0.000000,0.000000,-3.239723,13.442563
linobj2324,0.000000,0.000000,0.000000,0.000000,-1.069252,4.385908
linobj2325,13.268766,-3.952662,0.000000,0.000000,-2.170470,9.056655
linobj260126,4.455632,-1.327972,0.000000,0.000000,-1.074976,4.558632
linobj2528,8.701743,-2.591491,0.000000,0.000000,-1.068619,4.384057
linobj2627,4.455632,-1.327972,0.000000,0.000000,0.000000,0.000000
linobj2631,0.000000,0.000000,0.000000,0.000000,-1.074976,4.558632
linobj2733,4.455632,-1.327972,0.000000,0.000000,0.000000,0.000000
linobj2829,4.351053,-1.296011,0.000000,0.000000,-1.068619,4.384057
linobj2930,0.000000,0.000000,0.000000,0.000000,-1.068619,4.384057
linobj30250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj3132,0.000000,0.000000,0.000000,0.000000,-0.537460,2.279397
linobj3415,0.000000,0.000000,0.000000,0.000000,-1.622215,6.644834
linobj3536,4.340703,-1.300394,-3.309992,-3.206099,0.000000,0.000000
linobj3540,90.377818,-47.538688,-89.707109,-45.945920,-4.017040,99.723615
linobj3637,4.340703,-1.300394,0.000000,0.000000,0.000000,0.000000
linobj3638,0.000000,0.000000,-3.309992,-3.206099,0.000000,0.000000
linobj3839,0.000000,0.000000,-1.655078,-1.603059,0.000000,0.000000
linobj4041,0.000000,0.000000,0.000000,0.000000,-0.519374,2.223140
linobj4042,90.377818,-47.538688,-89.707109,-45.945920,-3.497666,97.500476
linobj4243,0.000000,0.000000,-3.240150,-3.178329,0.000000,0.000000
linobj4244,88.189403,-46.861971,-86.466960,-42.767591,-3.497666,97.500476
linobj4445,4.370629,-1.355015,0.000000,0.000000,0.000000,0.000000
linobj4447,83.818774,-45.506956,-86.466960,-42.767591,-3.497666,97.500476
linobj4546,2.185244,-0.677544,0.000000,0.000000,0.000000,0.000000
linobj4748,28.131346,-21.813840,-32.806088,-14.221502,4.651757,35.144455
linobj4749,41.533902,-12.721210,-37.230877,-21.421433,-10.496373,44.602192
linobj4950,2.181768,-0.679134,0.000000,0.000000,-1.039798,4.370433
linobj5051,2.181768,-0.679134,0.000000,0.000000,0.000000,0.000000
linobj51151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj5253,295.860452,-81.168413,-145.631283,-128.396105,-81.647024,277.361401
linobj5354,291.523376,-79.865100,-145.631283,-128.396105,-81.647024,277.361401
linobj5455,2.187241,-0.680046,-1.661058,-1.616154,0.000000,0.000000
linobj5457,289.336135,-79.185054,-143.970225,-126.779951,-81.647024,277.361401
linobj5556,0.000000,0.000000,-1.661058,-1.616154,0.000000,0.000000
linobj5758,0.000000,0.000000,-3.317399,-3.218425,0.000000,0.000000
linobj5760,289.336135,-79.185054,-140.652825,-123.561526,-81.647024,277.361401
linobj5859,0.000000,0.000000,-1.658823,-1.609290,0.000000,0.000000
linobj6061,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj6062,21.783468,-21.554271,-22.278135,-12.668034,-3.923868,39.263515
linobj6263,21.783468,-21.554271,-22.278135,-12.668034,-2.959302,34.929433
linobj6364,17.519993,-20.179755,-22.278135,-12.668034,-2.959302,34.929433
linobj6465,17.519993,-20.179755,-16.354400,-6.824436,-2.959302,34.929433
linobj6566,0.000000,0.000000,0.000000,0.000000,-1.793709,7.925243
linobj6768,13.097235,-4.352870,0.000000,0.000000,0.000000,0.000000
linobj6772,138.189544,-36.647475,-62.260793,-28.880351,-72.435760,216.767368
linobj6797,107.637289,-14.527961,-53.226709,-79.308421,-3.391710,15.523252
linobj6869,10.897579,-3.610415,0.000000,0.000000,0.000000,0.000000
linobj6970,6.546505,-2.176874,0.000000,0.000000,0.000000,0.000000
linobj7071,4.348781,-1.434061,0.000000,0.000000,0.000000,0.000000
linobj7273,0.000000,0.000000,0.000000,0.000000,-2.837268,13.245033
linobj7276,138.189544,-36.647475,-62.260793,-28.880351,-69.598492,203.522335
linobj7374,0.000000,0.000000,0.000000,0.000000,-1.890426,8.829236
linobj7475,0.000000,0.000000,0.000000,0.000000,-0.945057,4.415053
linobj7677,8.697938,-2.903064,-6.614466,-6.482628,-1.838486,8.879213
linobj7686,90.757634,-9.189386,-11.573447,-11.403310,-73.098915,159.093684
linobj7778,8.697938,-2.903064,-3.307135,-3.241110,-1.838486,8.879213
linobj7879,4.348775,-1.450827,0.000000,0.000000,0.000000,0.000000
linobj7880,4.349163,-1.452237,-3.307135,-3.241110,-1.838486,8.879213
linobj8081,4.349163,-1.452237,0.000000,0.000000,-1.838486,8.879213
linobj8182,4.349163,-1.452237,0.000000,0.000000,-0.455195,2.236832
linobj8184,0.000000,0.000000,0.000000,0.000000,-1.383291,6.642381
linobj8283,0.000000,0.000000,0.000000,0.000000,-0.455195,2.236832
linobj8485,0.000000,0.000000,0.000000,0.000000,-0.929073,4.406698
linobj8687,90.757634,-9.189386,-9.894342,-9.771217,-73.098915,159.093684
linobj8788,86.389025,-7.702604,0.000000,0.000000,0.000000,0.000000
linobj8789,4.368609,-1.486783,-6.611884,-6.520149,-73.098915,159.093684
linobj8990,0.000000,0.000000,-3.275217,-3.251199,0.000000,0.000000
linobj8991,4.368609,-1.486783,-3.336667,-3.268950,-73.098915,159.093684
linobj9192,0.000000,0.000000,0.000000,0.000000,-73.098915,159.093684
linobj9193,4.368609,-1.486783,-3.336667,-3.268950,0.000000,0.000000
linobj9394,4.368609,-1.486783,0.000000,0.000000,0.000000,0.000000
linobj9395,0.000000,0.000000,-3.336667,-3.268950,0.000000,0.000000
linobj9596,0.000000,0.000000,-1.668378,-1.634473,0.000000,0.000000
linobj9798,4.347762,-1.438086,-3.325611,-3.236118,-0.970564,4.428158
linobj9899,0.000000,0.000000,-3.325611,-3.236118,-0.970564,4.428158
linobj99100,0.000000,0.000000,0.000000,0.000000,-0.970564,4.428158
linobj100450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
linobj101102,0.000000,0.000000,0.000000,0.000000,-2.421146,11.095094
linobj101105,103.289526,-13.089875,-49.901098,-76.072303,0.000000,0.000000
linobj102103,0.000000,0.000000,0.000000,0.000000,-1.944492,8.849290
linobj103104,0.000000,0.000000,0.000000,0.000000,-0.971626,4.424248
