# file...... EV1_storage.csv
# date...... Wed Dec  3 16:00:18 2025
# user...... (null)
# host...... (null)
# target.... meter 822
# trigger... (none)
# interval.. 1200
# limit..... 720
# timestamp,measured_voltage_A,measured_power_A,measured_voltage_B,measured_power_B,measured_voltage_C,measured_power_C
2013-08-28 00:00:00 PST,+0+0j,+0+0j,+0+0j,+0+0j,-1158.48+2117.45j,+200000-0.0709072j
2013-08-28 00:20:00 PST,+0+0j,+0+0j,+0+0j,+0+0j,-1510.2+1884.14j,+200000-0.0913207j
2013-08-28 00:40:00 PST,+0+0j,+0+0j,+0+0j,+0+0j,-1532.05+1885.18j,+0+0j
2013-08-28 01:00:00 PST,+0+0j,+0+0j,+0+0j,+0+0j,-1532.42+1885.3j,+0+0j
2013-08-28 01:20:00 PST,+0+0j,+0+0j,+0+0j,+0+0j,-1543.2+1885.23j,+0+0j
2013-08-28 01:40:00 PST,+0+0j,+0+0j,+0+0j,+0+0j,-1543.28+1885.23j,+0+0j
2013-08-28 02:00:00 PST,+0+0j,+0+0j,+0+0j,+0+0j,-1543.48+1885.28j,+0+0j
2013-08-28 02:20:00 PST,+0+0j,+0+0j,+0+0j,+0+0j,-1543.53+1885.29j,+0+0j
2013-08-28 02:40:00 PST,+0+0j,+0+0j,+0+0j,+0+0j,-1542.86+1885.1j,+0+0j
2013-08-28 03:00:00 PST,+0+0j,+0+0j,+0+0j,+0+0j,-1542.24+1883.33j,+0+0j
2013-08-28 03:20:00 PST,+0+0j,+0+0j,+0+0j,+0+0j,-1542.77+1883.58j,+0+0j
2013-08-28 03:40:00 PST,+0+0j,+0+0j,+0+0j,+0+0j,-1545.61+1892.96j,+0+0j
2013-08-28 04:00:00 PST,+0+0j,+0+0j,+0+0j,+0+0j,-1543.34+1885.27j,+0+0j
