# file...... EV4_storage.csv
# date...... Wed Dec  3 16:00:18 2025
# user...... (null)
# host...... (null)
# target.... meter 805
# trigger... (none)
# interval.. 120
# limit..... 720
# timestamp,measured_voltage_C,measured_power_C,measured_frequency_C
2013-08-28 00:00:00 PST,-991.333+2121.85j,+200000-0.851492j,+60
2013-08-28 00:02:00 PST,-1370.33+1942.24j,+200000-1.08638j,+60
2013-08-28 00:04:00 PST,-1356.72+1929.3j,+200000-1.22222j,+60
2013-08-28 00:06:00 PST,-1354.79+1928.66j,+200008-1.10629j,+60
2013-08-28 00:08:00 PST,-1364.82+1940.57j,+200008-1.07008j,+60
2013-08-28 00:10:00 PST,-1374.51+1952.46j,+200000-0.0484922j,+60
2013-08-28 00:12:00 PST,-1365.2+1940.68j,+200000-1.0828j,+60
2013-08-28 00:14:00 PST,-1373.63+1952.23j,+200000-0.0519064j,+60
2013-08-28 00:16:00 PST,-1364.65+1940.53j,+200000-1.09049j,+60
2013-08-28 00:18:00 PST,-1373.76+1952.26j,+200000-0.0501512j,+60
2013-08-28 00:20:00 PST,-1365.14+1940.66j,+200000-1.09382j,+60
2013-08-28 00:22:00 PST,-1374.39+1952.42j,+200000-0.0495943j,+60
2013-08-28 00:24:00 PST,-1365.88+1940.86j,+200000-1.10006j,+60
2013-08-28 00:26:00 PST,-1374.85+1952.55j,+200000-0.0508281j,+60
2013-08-28 00:28:00 PST,-1365.71+1940.81j,+200000-1.08877j,+60
2013-08-28 00:30:00 PST,-1374.33+1952.41j,+200000-0.0511674j,+60
2013-08-28 00:32:00 PST,-1365.55+1940.77j,+200000-1.09393j,+60
2013-08-28 00:34:00 PST,-1527.45+1868.51j,+0+0j,+60
2013-08-28 00:36:00 PST,-1293.89+1906.46j,+0+0j,+60
2013-08-28 00:38:00 PST,-1326.55+1934.97j,+0+0j,+60
2013-08-28 00:40:00 PST,-1324.22+1948.96j,+0+0j,+60
2013-08-28 00:42:00 PST,-1325.03+1949.39j,+0+0j,+60
2013-08-28 00:44:00 PST,-1316.3+1937.73j,+0+0j,+60
2013-08-28 00:46:00 PST,-1326.11+1949.72j,+0+0j,+60
2013-08-28 00:48:00 PST,-1316.62+1937.82j,+0+0j,+60
2013-08-28 00:50:00 PST,-1326+1949.69j,+0+0j,+60
2013-08-28 00:52:00 PST,-1316.51+1937.79j,+0+0j,+60
2013-08-28 00:54:00 PST,-1325.88+1949.65j,+0+0j,+60
2013-08-28 00:56:00 PST,-1316.4+1937.76j,+0+0j,+60
2013-08-28 00:58:00 PST,-1325.79+1949.62j,+0+0j,+60
2013-08-28 01:00:00 PST,-1316.31+1937.73j,+0+0j,+60
2013-08-28 01:02:00 PST,-1500.02+1965.53j,+0+0j,+60
2013-08-28 01:04:00 PST,-1490.75+1953.59j,+0+0j,+60
2013-08-28 01:06:00 PST,-1481.58+1941.97j,+0+0j,+60
2013-08-28 01:08:00 PST,-1490.36+1953.71j,+0+0j,+60
2013-08-28 01:10:00 PST,-1481.05+1942.06j,+0+0j,+60
2013-08-28 01:12:00 PST,-1471.94+1929.95j,+0+0j,+60
2013-08-28 01:14:00 PST,-1462.92+1918.28j,+0+0j,+60
2013-08-28 01:16:00 PST,-1472.17+1930j,+0+0j,+60
2013-08-28 01:18:00 PST,-1463.5+1918.4j,+0+0j,+60
2013-08-28 01:20:00 PST,-1472.87+1930.24j,+0+0j,+60
2013-08-28 01:22:00 PST,-1463.7+1918.44j,+0+0j,+60
2013-08-28 01:24:00 PST,-1472.4+1930.14j,+0+0j,+60
2013-08-28 01:26:00 PST,-1463.5+1918.4j,+0+0j,+60
2013-08-28 01:28:00 PST,-1473.1+1930.28j,+0+0j,+60
2013-08-28 01:30:00 PST,-1464.74+1918.65j,+0+0j,+60
2013-08-28 01:32:00 PST,-1473.77+1930.42j,+0+0j,+60
2013-08-28 01:34:00 PST,-1473.91+1930.51j,+0+0j,+60
2013-08-28 01:36:00 PST,-1464.38+1918.51j,+0+0j,+60
2013-08-28 01:38:00 PST,-1473.49+1930.43j,+0+0j,+60
2013-08-28 01:40:00 PST,-1463.83+1918.4j,+0+0j,+60
2013-08-28 01:42:00 PST,-1473.3+1930.39j,+0+0j,+60
2013-08-28 01:44:00 PST,-1464.07+1918.45j,+0+0j,+60
2013-08-28 01:46:00 PST,-1473.64+1930.46j,+0+0j,+60
2013-08-28 01:48:00 PST,-1464.51+1918.54j,+0+0j,+60
2013-08-28 01:50:00 PST,-1474.16+1930.56j,+0+0j,+60
2013-08-28 01:52:00 PST,-1464.64+1918.57j,+0+0j,+60
2013-08-28 01:54:00 PST,-1473.84+1930.5j,+0+0j,+60
2013-08-28 01:56:00 PST,-1464.38+1918.51j,+0+0j,+60
2013-08-28 01:58:00 PST,-1473.91+1930.51j,+0+0j,+60
2013-08-28 02:00:00 PST,-1464.67+1918.57j,+0+0j,+60
2013-08-28 02:02:00 PST,-1473.83+1930.5j,+0+0j,+60
2013-08-28 02:04:00 PST,-1464.13+1918.46j,+0+0j,+60
2013-08-28 02:06:00 PST,-1455.1+1906.7j,+0+0j,+60
2013-08-28 02:08:00 PST,-1464.68+1918.58j,+0+0j,+60
2013-08-28 02:10:00 PST,-1474.67+1930.67j,+0+0j,+60
2013-08-28 02:12:00 PST,-1465.03+1918.65j,+0+0j,+60
2013-08-28 02:14:00 PST,-1474.01+1930.53j,+0+0j,+60
2013-08-28 02:16:00 PST,-1464.41+1918.52j,+0+0j,+60
2013-08-28 02:18:00 PST,-1474.05+1930.54j,+0+0j,+60
2013-08-28 02:20:00 PST,-1464.9+1918.62j,+0+0j,+60
2013-08-28 02:22:00 PST,-1474.19+1930.57j,+0+0j,+60
2013-08-28 02:24:00 PST,-1464.61+1918.56j,+0+0j,+60
2013-08-28 02:26:00 PST,-1473.97+1930.53j,+0+0j,+60
2013-08-28 02:28:00 PST,-1464.93+1918.63j,+0+0j,+60
2013-08-28 02:30:00 PST,-1474.68+1930.67j,+0+0j,+60
2013-08-28 02:32:00 PST,-1465.04+1918.65j,+0+0j,+60
2013-08-28 02:34:00 PST,-1474.02+1930.54j,+0+0j,+60
2013-08-28 02:36:00 PST,-1482.77+1942.24j,+0+0j,+60
2013-08-28 02:38:00 PST,-1474.03+1930.53j,+0+0j,+60
2013-08-28 02:40:00 PST,-1455.7+1916.29j,+0+0j,+60
2013-08-28 02:42:00 PST,-1459.63+1863.65j,+0+0j,+60
2013-08-28 02:44:00 PST,-1468.61+1875.34j,+0+0j,+60
2013-08-28 02:46:00 PST,-1477.65+1887.04j,+0+0j,+60
2013-08-28 02:48:00 PST,-1468+1913.14j,+0+0j,+60
2013-08-28 02:50:00 PST,-1459.33+1901.77j,+0+0j,+60
2013-08-28 02:52:00 PST,-1468.61+1913.4j,+0+0j,+60
2013-08-28 02:54:00 PST,-1459.5+1901.95j,+0+0j,+60
2013-08-28 02:56:00 PST,-1468.5+1913.37j,+0+0j,+60
2013-08-28 02:58:00 PST,-1458.97+1901.84j,+0+0j,+60
2013-08-28 03:00:00 PST,-1467.64+1913.2j,+0+0j,+60
2013-08-28 03:02:00 PST,-1458.69+1901.79j,+0+0j,+60
2013-08-28 03:04:00 PST,-1449.94+1890.25j,+0+0j,+60
2013-08-28 03:06:00 PST,-1459.21+1901.89j,+0+0j,+60
2013-08-28 03:08:00 PST,-1449.81+1890.21j,+0+0j,+60
2013-08-28 03:10:00 PST,-1458.58+1901.76j,+0+0j,+60
2013-08-28 03:12:00 PST,-1467.67+1913.2j,+0+0j,+60
2013-08-28 03:14:00 PST,-1430.11+1893.86j,+0+0j,+60
2013-08-28 03:16:00 PST,-1439.5+1905.73j,+0+0j,+60
2013-08-28 03:18:00 PST,-1448.55+1917.2j,+0+0j,+60
2013-08-28 03:20:00 PST,-1485.45+1927.25j,+0+0j,+60
2013-08-28 03:22:00 PST,-1476.34+1915.64j,+0+0j,+60
2013-08-28 03:24:00 PST,-1467.23+1904.03j,+0+0j,+60
2013-08-28 03:26:00 PST,-1476.44+1915.51j,+0+0j,+60
2013-08-28 03:28:00 PST,-1467.86+1904j,+0+0j,+60
2013-08-28 03:30:00 PST,-1477.51+1915.56j,+0+0j,+60
2013-08-28 03:32:00 PST,-1468.26+1904.08j,+0+0j,+60
