# Volt_Dump_NR.csv run at 2013-08-28 00:00:00 PST on 804 powerflow objects (not all are nodes)
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
Node650,138000.000000,0.000000,-69000.000000,-119497.000000,-69000.000000,119497.000000
n3,0.000000,0.000000,0.000000,0.000000,-1194.984893,2125.205262
n8,2439.356618,-22.936920,-1224.915440,-2108.576290,-1178.536329,2121.411383
n13,2431.812064,-29.964461,-1223.338751,-2101.271365,-1163.653465,2117.842236
n14,2498.553255,-24.546902,0.000000,0.000000,0.000000,0.000000
n1401,2499.490269,-24.004119,0.000000,0.000000,0.000000,0.000000
n15,0.000000,0.000000,0.000000,0.000000,-1162.911379,2117.404469
n18,2422.274500,-38.047011,-1224.223805,-2089.153143,-1155.449187,2110.819624
n21,2422.067339,-38.676477,-1224.222701,-2089.212894,-1154.800823,2110.414680
n23,2421.935437,-39.290073,-1224.132588,-2089.494587,-1154.226660,2109.995679
n25,2421.664460,-39.959163,-1224.128930,-2089.790348,-1153.868908,2109.577719
n26,2482.107557,-41.260900,0.000000,0.000000,-1182.436142,2162.153158
n2601,2482.206071,-40.958142,-1254.732154,-2142.035107,-1182.715631,2162.317162
n27,2481.929406,-41.484468,0.000000,0.000000,-1182.497427,2162.072681
n36,2417.481083,-40.581231,-1224.144799,-2082.964777,0.000000,0.000000
n40,2415.288834,-41.076322,-1223.904233,-2080.268359,-1150.022508,2109.091694
n44,2410.465631,-42.492311,-1224.145853,-2074.774939,-1146.054287,2107.400507
n54,2423.728195,-40.335441,-1219.402504,-2092.838766,-1137.057649,2113.401932
n57,2421.282937,-45.458123,-1215.865146,-2087.183876,-1124.771575,2111.430880
n61,2416.149504,-56.685748,-1208.000016,-2075.780470,-1098.285047,2106.901172
n67,2476.288273,-62.395295,-1235.708788,-2124.100275,-1115.419262,2157.070616
n6701,2476.553241,-58.102891,-1238.200017,-2127.674981,-1125.742173,2159.573702
n72,2476.907779,-63.659856,-1232.638151,-2120.889023,-1107.461804,2156.674422
n78,2476.796275,-65.093239,-1230.853227,-2118.027527,-1101.686672,2156.235449
n81,2476.971664,-65.776766,-1230.506289,-2117.961629,-1100.149815,2155.649195
n89,2488.355731,-63.555470,-1219.413484,-2113.562186,-1071.744439,2158.104613
n91,2490.465705,-63.331449,-1217.565278,-2113.238592,-1066.787299,2158.229395
n93,2490.285216,-63.438096,-1217.701164,-2113.089611,-1066.882545,2158.223161
n97,2475.421829,-63.837923,-1235.976699,-2124.016686,-1115.119392,2156.542371
n101,2474.657834,-65.152478,-1236.204816,-2124.089790,-1114.950244,2156.041286
n105,2473.549439,-66.561741,-1236.769024,-2124.144879,-1115.437167,2155.625195
n108,2472.333749,-68.444446,-1237.183066,-2124.829530,-1115.872061,2154.868235
n110,2465.945686,-73.151227,0.000000,0.000000,0.000000,0.000000
n135,2422.274500,-38.047011,-1224.223805,-2089.153143,-1155.449187,2110.819624
n149,2461.569938,-0.385343,-1231.049813,-2131.381058,-1230.274660,2131.798277
n1491,2461.569938,-0.385343,-1231.049813,-2131.381058,-1230.274660,2131.798277
n150,2401.531647,-0.375944,-1201.024208,-2079.396154,-1200.267961,2079.803197
n151,2407.368517,-43.294466,-1223.923313,-2070.309952,-1142.882743,2106.517820
n152,2431.812064,-29.964461,-1223.338751,-2101.271365,-1163.653465,2117.842236
n160,2416.149504,-56.685748,-1208.000016,-2075.780470,-1098.285047,2106.901172
n195,2490.241773,-63.337158,-1217.814470,-2112.803424,-1066.932404,2158.332205
n197,2475.421829,-63.837923,-1235.976699,-2124.016686,-1115.119392,2156.542371
n250,2421.610523,-40.524841,-1223.995205,-2090.055871,-1153.195501,2109.171934
n251,2421.610523,-40.524841,-1223.995205,-2090.055871,-1153.195501,2109.171934
n300,2472.333749,-68.444446,-1237.183066,-2124.829530,-1115.872061,2154.868235
n350,2472.333749,-68.444446,-1237.183066,-2124.829530,-1115.872061,2154.868235
n450,2475.560235,-63.839873,-1235.847744,-2123.350853,-1114.263603,2156.571442
n451,2475.560235,-63.839873,-1235.847744,-2123.350853,-1114.263603,2156.571442
n610,274.560926,-5.557392,-143.610173,-238.529860,-130.950753,244.087252
n611,2416.149504,-56.685748,-1208.000016,-2075.780470,-1098.285047,2106.901172
l1,2452.897619,-10.169177,-1227.097416,-2120.430326,-1202.985867,2127.685747
l1_tn,122.166661,-0.609733,122.166661,-0.609733,0.000000,0.000000
l1_tm,122.166661,-0.609733,122.166661,-0.609733,0.000000,0.000000
l1_tpn,122.282089,-0.602519,122.282089,-0.602519,0.000000,0.000000
l2,0.000000,0.000000,-1227.351639,-2119.356905,0.000000,0.000000
l2_tn,-61.266075,-105.688551,-61.266075,-105.688551,0.000000,0.000000
l2_tm,-61.266075,-105.688551,-61.266075,-105.688551,0.000000,0.000000
l2_tpn,-61.294835,-105.746901,-61.294835,-105.746901,0.000000,0.000000
l4,0.000000,0.000000,0.000000,0.000000,-1194.698559,2125.040866
l4_tn,-59.404906,105.876372,-59.404906,105.876372,0.000000,0.000000
l4_tm,-59.404906,105.876372,-59.404906,105.876372,0.000000,0.000000
l4_tpn,-59.475633,105.984627,-59.475633,105.984627,0.000000,0.000000
l5,0.000000,0.000000,0.000000,0.000000,-1185.048920,2122.247774
l5_tn,-59.065102,105.883163,-59.065102,105.883163,0.000000,0.000000
l5_tm,-59.065102,105.883163,-59.065102,105.883163,0.000000,0.000000
l5_tpn,-59.100879,105.938220,-59.100879,105.938220,0.000000,0.000000
l6,0.000000,0.000000,0.000000,0.000000,-1184.692692,2122.041835
l6_tn,-58.907200,105.727305,-58.907200,105.727305,0.000000,0.000000
l6_tm,-58.907200,105.727305,-58.907200,105.727305,0.000000,0.000000
l6_tpn,-58.976919,105.834716,-58.976919,105.834716,0.000000,0.000000
l7,2444.734320,-17.878592,-1225.803319,-2113.341406,-1188.329456,2123.903574
l7_tn,121.934484,-0.944411,121.934484,-0.944411,0.000000,0.000000
l7_tm,121.934484,-0.944411,121.934484,-0.944411,0.000000,0.000000
l7_tpn,122.009124,-0.939953,122.009124,-0.939953,0.000000,0.000000
l9,2438.527092,-23.418653,0.000000,0.000000,0.000000,0.000000
l9_tn,121.464642,-1.268228,121.464642,-1.268228,0.000000,0.000000
l9_tm,121.464642,-1.268228,121.464642,-1.268228,0.000000,0.000000
l9_tpn,121.565110,-1.262498,121.565110,-1.262498,0.000000,0.000000
l10,2498.367428,-24.653316,0.000000,0.000000,0.000000,0.000000
l10_tn,124.617473,-1.282991,124.617473,-1.282991,0.000000,0.000000
l10_tm,124.617473,-1.282991,124.617473,-1.282991,0.000000,0.000000
l10_tpn,124.685710,-1.279090,124.685710,-1.279090,0.000000,0.000000
l11,2498.187899,-24.759771,0.000000,0.000000,0.000000,0.000000
l11_tn,124.434750,-1.337573,124.434750,-1.337573,0.000000,0.000000
l11_tm,124.434750,-1.337573,124.434750,-1.337573,0.000000,0.000000
l11_tpn,124.539411,-1.331636,124.539411,-1.331636,0.000000,0.000000
l12,0.000000,0.000000,-1224.916125,-2108.388089,0.000000,0.000000
l12_tn,-61.151986,-105.156874,-61.151986,-105.156874,0.000000,0.000000
l12_tm,-61.151986,-105.156874,-61.151986,-105.156874,0.000000,0.000000
l12_tpn,-61.173067,-105.199496,-61.173067,-105.199496,0.000000,0.000000
l16,0.000000,0.000000,0.000000,0.000000,-1162.382476,2117.093698
l16_tn,-57.797260,105.481355,-57.797260,105.481355,0.000000,0.000000
l16_tm,-57.797260,105.481355,-57.797260,105.481355,0.000000,0.000000
l16_tpn,-57.864869,105.587146,-57.864869,105.587146,0.000000,0.000000
l17,0.000000,0.000000,0.000000,0.000000,-1162.662413,2117.255682
l17_tn,-57.952501,105.639842,-57.952501,105.639842,0.000000,0.000000
l17_tm,-57.952501,105.639842,-57.952501,105.639842,0.000000,0.000000
l17_tpn,-57.983712,105.688625,-57.983712,105.688625,0.000000,0.000000
l19,2421.563438,-38.455575,0.000000,0.000000,0.000000,0.000000
l19_tn,120.602616,-2.017355,120.602616,-2.017355,0.000000,0.000000
l19_tm,120.602616,-2.017355,120.602616,-2.017355,0.000000,0.000000
l19_tpn,120.718846,-2.011459,120.718846,-2.011459,0.000000,0.000000
l20,2421.101298,-38.721075,0.000000,0.000000,0.000000,0.000000
l20_tn,120.566668,-2.031202,120.566668,-2.031202,0.000000,0.000000
l20_tm,120.566668,-2.031202,120.566668,-2.031202,0.000000,0.000000
l20_tpn,120.695824,-2.024666,120.695824,-2.024666,0.000000,0.000000
l22,0.000000,0.000000,-1224.228915,-2088.352240,0.000000,0.000000
l22_tn,-61.050822,-103.939158,-61.050822,-103.939158,0.000000,0.000000
l22_tm,-61.050822,-103.939158,-61.050822,-103.939158,0.000000,0.000000
l22_tpn,-61.111928,-104.061360,-61.111928,-104.061360,0.000000,0.000000
l24,0.000000,0.000000,0.000000,0.000000,-1153.455058,2109.540503
l24_tn,-57.361694,105.118532,-57.361694,105.118532,0.000000,0.000000
l24_tm,-57.361694,105.118532,-57.361694,105.118532,0.000000,0.000000
l24_tpn,-57.420063,105.210214,-57.420063,105.210214,0.000000,0.000000
l28,2421.502918,-40.276307,-1224.151654,-2089.927427,-1153.768469,2109.390450
l28_tn,120.586603,-2.108668,120.586603,-2.108668,0.000000,0.000000
l28_tm,120.586603,-2.108668,120.586603,-2.108668,0.000000,0.000000
l28_tpn,120.715786,-2.102213,120.715786,-2.102213,0.000000,0.000000
l29,2421.450375,-40.517372,-1224.116654,-2090.037928,-1153.543855,2109.226577
l29_tn,120.599913,-2.119889,120.599913,-2.119889,0.000000,0.000000
l29_tm,120.599913,-2.119889,120.599913,-2.119889,0.000000,0.000000
l29_tpn,120.713122,-2.114243,120.713122,-2.114243,0.000000,0.000000
l30,2421.610523,-40.524841,-1223.995205,-2090.055871,-1153.195501,2109.171934
l30_tn,-57.332021,105.073787,-57.332021,105.073787,0.000000,0.000000
l30_tm,-57.332021,105.073787,-57.332021,105.073787,0.000000,0.000000
l30_tpn,-57.407194,105.191873,-57.407194,105.191873,0.000000,0.000000
l31,0.000000,0.000000,0.000000,0.000000,-1182.110114,2161.957499
l31_tn,-58.914988,107.859596,-58.914988,107.859596,0.000000,0.000000
l31_tm,-58.914988,107.859596,-58.914988,107.859596,0.000000,0.000000
l31_tpn,-58.953469,107.919985,-58.953469,107.919985,0.000000,0.000000
l32,0.000000,0.000000,0.000000,0.000000,-1181.892759,2161.827051
l32_tn,-58.914427,107.869230,-58.914427,107.869230,0.000000,0.000000
l32_tm,-58.914427,107.869230,-58.914427,107.869230,0.000000,0.000000
l32_tpn,-58.942607,107.913457,-58.942607,107.913457,0.000000,0.000000
l33,2481.200711,-41.902237,0.000000,0.000000,0.000000,0.000000
l33_tn,123.562700,-2.191978,123.562700,-2.191978,0.000000,0.000000
l33_tm,123.562700,-2.191978,123.562700,-2.191978,0.000000,0.000000
l33_tpn,123.691913,-2.185555,123.691913,-2.185555,0.000000,0.000000
l34,0.000000,0.000000,0.000000,0.000000,-1163.123553,2117.529852
l34_tn,-57.835074,105.504559,-57.835074,105.504559,0.000000,0.000000
l34_tm,-57.835074,105.504559,-57.835074,105.504559,0.000000,0.000000
l34_tpn,-57.901794,105.608916,-57.901794,105.608916,0.000000,0.000000
l35,2417.982901,-40.283637,-1223.765647,-2083.395744,-1152.321328,2110.029320
l37,2417.054940,-40.825545,0.000000,0.000000,0.000000,0.000000
l37_tn,120.372799,-2.135456,120.372799,-2.135456,0.000000,0.000000
l37_tm,120.372799,-2.135456,120.372799,-2.135456,0.000000,0.000000
l37_tpn,120.493996,-2.129431,120.493996,-2.129431,0.000000,0.000000
l38,0.000000,0.000000,-1224.144181,-2082.550435,0.000000,0.000000
l38_tn,-61.102095,-103.846276,-61.102095,-103.846276,0.000000,0.000000
l38_tm,-61.102095,-103.846276,-61.102095,-103.846276,0.000000,0.000000
l38_tpn,-61.134036,-103.910032,-61.134036,-103.910032,0.000000,0.000000
l39,0.000000,0.000000,-1224.143774,-2082.281106,0.000000,0.000000
l39_tn,-61.110775,-103.850199,-61.110775,-103.850199,0.000000,0.000000
l39_tm,-61.110775,-103.850199,-61.110775,-103.850199,0.000000,0.000000
l39_tpn,-61.134008,-103.896568,-61.134008,-103.896568,0.000000,0.000000
l41,0.000000,0.000000,0.000000,0.000000,-1149.792997,2108.953589
l41_tn,-57.312995,105.229043,-57.312995,105.229043,0.000000,0.000000
l41_tm,-57.312995,105.229043,-57.312995,105.229043,0.000000,0.000000
l41_tpn,-57.341584,105.274028,-57.341584,105.274028,0.000000,0.000000
l42,2412.550107,-41.862609,-1224.091692,-2077.135087,-1147.848198,2108.175667
l42_tn,120.355370,-2.138655,120.355370,-2.138655,0.000000,0.000000
l42_tm,120.355370,-2.138655,120.355370,-2.138655,0.000000,0.000000
l42_tpn,120.402375,-2.136320,120.402375,-2.136320,0.000000,0.000000
l43,0.000000,0.000000,-1224.095557,-2076.318941,0.000000,0.000000
l43_tn,-61.038828,-103.330341,-61.038828,-103.330341,0.000000,0.000000
l43_tm,-61.038828,-103.330341,-61.038828,-103.330341,0.000000,0.000000
l43_tpn,-61.104809,-103.461479,-61.104809,-103.461479,0.000000,0.000000
l45,2410.177302,-42.654435,0.000000,0.000000,0.000000,0.000000
l45_tn,120.219984,-2.178940,120.219984,-2.178940,0.000000,0.000000
l45_tm,120.219984,-2.178940,120.219984,-2.178940,0.000000,0.000000
l45_tpn,120.283955,-2.175785,120.283955,-2.175785,0.000000,0.000000
l46,2409.961057,-42.776020,0.000000,0.000000,0.000000,0.000000
l46_tn,120.214572,-2.184738,120.214572,-2.184738,0.000000,0.000000
l46_tm,120.214572,-2.184738,120.214572,-2.184738,0.000000,0.000000
l46_tpn,120.273155,-2.181851,120.273155,-2.181851,0.000000,0.000000
l47,2408.021148,-43.080675,-1224.150543,-2071.728820,-1143.756447,2106.503126
l48,2407.337023,-43.415321,-1224.048948,-2071.030113,-1143.148517,2106.217640
l49,2407.441505,-43.086794,-1223.977090,-2070.224002,-1143.075321,2106.629022
l50,2407.449030,-43.196693,-1223.893967,-2070.270291,-1142.855038,2106.553558
l50_tn,-56.824052,104.953774,-56.824052,104.953774,0.000000,0.000000
l50_tm,-56.824052,104.953774,-56.824052,104.953774,0.000000,0.000000
l50_tpn,-56.891765,105.060909,-56.891765,105.060909,0.000000,0.000000
l51,2407.368517,-43.294466,-1223.923313,-2070.309952,-1142.882743,2106.517820
l51_tn,120.083085,-2.210650,120.083085,-2.210650,0.000000,0.000000
l51_tm,120.083085,-2.210650,120.083085,-2.210650,0.000000,0.000000
l51_tpn,120.143758,-2.207674,120.143758,-2.207674,0.000000,0.000000
l52,2427.194990,-35.884138,-1221.228253,-2096.714197,-1149.033918,2115.321232
l52_tn,120.871131,-1.890136,120.871131,-1.890136,0.000000,0.000000
l52_tm,120.871131,-1.890136,120.871131,-1.890136,0.000000,0.000000
l52_tpn,120.999730,-1.883472,120.999730,-1.883472,0.000000,0.000000
l53,2425.012909,-38.684596,-1220.123698,-2094.358810,-1141.680648,2114.118098
l53_tn,120.768808,-2.029184,120.768808,-2.029184,0.000000,0.000000
l53_tm,120.768808,-2.029184,120.768808,-2.029184,0.000000,0.000000
l53_tpn,120.890821,-2.023004,120.890821,-2.023004,0.000000,0.000000
l55,2423.609944,-40.389183,-1219.486381,-2092.762325,-1137.110734,2113.412075
l55_tn,120.887703,-2.066348,120.887703,-2.066348,0.000000,0.000000
l55_tm,120.887703,-2.066348,120.887703,-2.066348,0.000000,0.000000
l55_tpn,120.954400,-2.062989,120.954400,-2.062989,0.000000,0.000000
l56,2423.580673,-40.332916,-1219.535468,-2092.632797,-1137.133198,2113.461827
l56_tn,-60.877448,-104.359343,-60.877448,-104.359343,0.000000,0.000000
l56_tm,-60.877448,-104.359343,-60.877448,-104.359343,0.000000,0.000000
l56_tpn,-60.904225,-104.413297,-60.904225,-104.413297,0.000000,0.000000
l58,0.000000,0.000000,-1215.866121,-2086.769626,0.000000,0.000000
l58_tn,-60.687473,-104.053226,-60.687473,-104.053226,0.000000,0.000000
l58_tm,-60.687473,-104.053226,-60.687473,-104.053226,0.000000,0.000000
l58_tpn,-60.720985,-104.120765,-60.720985,-104.120765,0.000000,0.000000
l59,0.000000,0.000000,-1215.866606,-2086.562489,0.000000,0.000000
l59_tn,-60.698624,-104.065303,-60.698624,-104.065303,0.000000,0.000000
l59_tm,-60.698624,-104.065303,-60.698624,-104.065303,0.000000,0.000000
l59_tpn,-60.721002,-104.110399,-60.721002,-104.110399,0.000000,0.000000
l60,2416.149504,-56.685748,-1208.000016,-2075.780470,-1098.285047,2106.901172
l60_tn,120.535063,-2.878200,120.535063,-2.878200,0.000000,0.000000
l60_tm,120.535063,-2.878200,120.535063,-2.878200,0.000000,0.000000
l60_tpn,120.581725,-2.876168,120.581725,-2.876168,0.000000,0.000000
l62,2414.757743,-55.800828,-1206.985299,-2074.870024,-1097.634859,2104.858893
l62_tn,-54.589714,104.896310,-54.589714,104.896310,0.000000,0.000000
l62_tm,-54.589714,104.896310,-54.589714,104.896310,0.000000,0.000000
l62_tpn,-54.637404,104.974577,-54.637404,104.974577,0.000000,0.000000
l63,2413.785575,-55.180470,-1206.272018,-2074.230210,-1097.245516,2103.584577
l63_tn,120.239869,-2.848917,120.239869,-2.848917,0.000000,0.000000
l63_tm,120.239869,-2.848917,120.239869,-2.848917,0.000000,0.000000
l63_tpn,120.330381,-2.844957,120.330381,-2.844957,0.000000,0.000000
l64,2412.182362,-53.974942,-1204.843925,-2072.958342,-1096.467227,2101.031373
l64_tn,-60.009371,-102.877519,-60.009371,-102.877519,0.000000,0.000000
l64_tm,-60.009371,-102.877519,-60.009371,-102.877519,0.000000,0.000000
l64_tpn,-60.101121,-103.062401,-60.101121,-103.062401,0.000000,0.000000
l65,2410.218902,-52.505818,-1203.533843,-2072.038470,-1095.538861,2097.936323
l66,2410.211898,-52.508950,-1203.543934,-2072.047007,-1095.313391,2097.409370
l66_tn,-54.242834,104.266237,-54.242834,104.266237,0.000000,0.000000
l66_tm,-54.242834,104.266237,-54.242834,104.266237,0.000000,0.000000
l66_tpn,-54.351257,104.444233,-54.351257,104.444233,0.000000,0.000000
l68,2475.406762,-62.887462,0.000000,0.000000,0.000000,0.000000
l68_tn,123.482616,-3.189156,123.482616,-3.189156,0.000000,0.000000
l68_tm,123.482616,-3.189156,123.482616,-3.189156,0.000000,0.000000
l68_tpn,123.539031,-3.186809,123.539031,-3.186809,0.000000,0.000000
l69,2474.399098,-63.451310,0.000000,0.000000,0.000000,0.000000
l69_tn,123.212922,-3.265251,123.212922,-3.265251,0.000000,0.000000
l69_tm,123.212922,-3.265251,123.212922,-3.265251,0.000000,0.000000
l69_tpn,123.352007,-3.259557,123.352007,-3.259557,0.000000,0.000000
l70,2473.683001,-63.850974,0.000000,0.000000,0.000000,0.000000
l70_tn,123.387996,-3.237536,123.387996,-3.237536,0.000000,0.000000
l70_tm,123.387996,-3.237536,123.387996,-3.237536,0.000000,0.000000
l70_tpn,123.452992,-3.234858,123.452992,-3.234858,0.000000,0.000000
l71,2473.281382,-64.076439,0.000000,0.000000,0.000000,0.000000
