# file...... gld_cosim_right.csv
# date...... Wed Dec  3 16:00:18 2025
# user...... (null)
# host...... (null)
# target.... meter 3
# trigger... (none)
# interval.. 60
# limit..... 20
# timestamp,measured_voltage_A,measured_power_A,measured_voltage_B,measured_power_B,measured_voltage_C,measured_power_C
2013-08-28 00:00:00 PST,+138000+0i,+1.17581e+06+308175i,-69000-119497j,+986012+366423j,-69000+119497j,+1.4038e+06+316112j
2013-08-28 00:01:00 PST,+139333+24643.6j,+1.20184e+06+318797j,-48324.5-132988j,+1.00442e+06+375444j,-91008.4+108344j,+1.42578e+06+323895j
2013-08-28 00:02:00 PST,+139333+24643.6j,+1.19508e+06+315923j,-48324.5-132988j,+999434+372720j,-91008.4+108344j,+1.4204e+06+321861j
2013-08-28 00:03:00 PST,+139333+24643.6j,+1.19037e+06+313905j,-48324.5-132988j,+996139+370872j,-91008.4+108344j,+1.4165e+06+320455j
2013-08-28 00:04:00 PST,+139333+24643.6j,+1.18786e+06+313186j,-48324.5-132988j,+990940+368077j,-91008.4+108344j,+1.41463e+06+319643j
2013-08-28 00:05:00 PST,+139333+24643.6j,+1.18347e+06+311302j,-48324.5-132988j,+987660+366241j,-91008.4+108344j,+1.41087e+06+318305j
2013-08-28 00:06:00 PST,+139333+24643.6j,+1.18224e+06+311175j,-48324.5-132988j,+985504+365578j,-91008.4+108344j,+1.40981e+06+317944j
2013-08-28 00:07:00 PST,+139333+24643.6j,+1.17865e+06+309723j,-48324.5-132988j,+985171+365837j,-91008.4+108344j,+1.40681e+06+317034j
2013-08-28 00:08:00 PST,+139333+24643.6j,+1.1771e+06+309490j,-48324.5-132988j,+982957+365160j,-91008.4+108344j,+1.40564e+06+316647j
2013-08-28 00:09:00 PST,+139333+24643.6j,+1.17346e+06+308215j,-48324.5-132988j,+980870+364529j,-91008.4+108344j,+1.40275e+06+315688j
2013-08-28 00:10:00 PST,+139333+24643.6j,+1.16761e+06+305991j,-48324.5-132988j,+978945+363734j,-91008.4+108344j,+1.40148e+06+315562j
2013-08-28 00:11:00 PST,+139333+24643.6j,+1.16943e+06+306632j,-48324.5-132988j,+979999+364052j,-91008.4+108344j,+1.40295e+06+316051j
2013-08-28 00:12:00 PST,+139333+24643.6j,+1.17364e+06+308290j,-48324.5-132988j,+980981+364563j,-91008.4+108344j,+1.4029e+06+315740j
2013-08-28 00:13:00 PST,+139333+24643.6j,+1.17563e+06+308989j,-48324.5-132988j,+982125+364908j,-91008.4+108344j,+1.40448e+06+316270j
2013-08-28 00:14:00 PST,+139333+24643.6j,+1.17539e+06+308715j,-48324.5-132988j,+983435+365084j,-91008.4+108344j,+1.40772e+06+317637j
2013-08-28 00:15:00 PST,+139333+24643.6j,+1.17737e+06+309413j,-48324.5-132988j,+984579+365429j,-91008.4+108344j,+1.40931e+06+318168j
2013-08-28 00:16:00 PST,+139333+24643.6j,+1.17865e+06+310047j,-48324.5-132988j,+983857+365429j,-91008.4+108344j,+1.40687e+06+317060j
2013-08-28 00:17:00 PST,+139333+24643.6j,+1.17756e+06+309657j,-48324.5-132988j,+983226+365239j,-91008.4+108344j,+1.406e+06+316772j
2013-08-28 00:18:00 PST,+139333+24643.6j,+1.17422e+06+308304j,-48324.5-132988j,+982758+364881j,-91008.4+108344j,+1.40678e+06+317324j
2013-08-28 00:19:00 PST,+139333+24643.6j,+1.17313e+06+307919j,-48324.5-132988j,+982127+364691j,-91008.4+108344j,+1.40591e+06+317031j
2013-08-28 00:20:00 PST,+139333+24643.6j,+1.17425e+06+308503j,-48324.5-132988j,+981329+364668j,-91008.4+108344j,+1.40338e+06+315900j
# end of tape
