Time (s): 5
S received from Gridlab-D, Sa: (0.0117581,0.00308175) Sb: (0.00986012,0.00366423) Sc: (0.014038,0.00316112)
S received from Gridlab-D, Sa_2: (0.00821474,0.00316277) Sb_2: (0.00687152,0.00310209) Sc_2: (0.00724983,0.0025758)
Updated Vv by GridPACK, Va: (1.00966,0.178577) Vb: (-0.350177,-0.963679) Vc: (-0.659481,0.785102)
Updated Vv by GridPACK, Va_2: (1.02111,0.0932124) Vb_2: (-0.350177,-0.963679) Vc_2: (-0.591281,0.837704)

Time (s): 10
S received from Gridlab-D, Sa: (0.0117581,0.00308175) Sb: (0.00986012,0.00366423) Sc: (0.014038,0.00316112)
S received from Gridlab-D, Sa_2: (0.00821474,0.00316277) Sb_2: (0.00687152,0.00310209) Sc_2: (0.00724983,0.0025758)
Updated Vv by GridPACK, Va: (1.00966,0.178577) Vb: (-0.350177,-0.963679) Vc: (-0.659481,0.785102)
Updated Vv by GridPACK, Va_2: (1.02111,0.0932124) Vb_2: (-0.350177,-0.963679) Vc_2: (-0.591281,0.837704)

End of Cosimulation.
