# file...... output/1c_IEEE_123_feeder_0_EV2.csv
# date...... Wed Dec  3 16:00:18 2025
# user...... (null)
# host...... (null)
# target.... load 814
# trigger... (none)
# interval.. 1200
# limit..... 0
# timestamp,measured_voltage_B,constant_power_B,measured_frequency_B
2013-08-28 00:00:00 PST,+2442.17-120.323d,+200000+0j,+60
2013-08-28 00:20:00 PST,+2443.32-110.287d,+200000+0j,+60
2013-08-28 00:40:00 PST,+2444.24-110.507d,+200000+0j,+60
2013-08-28 01:00:00 PST,+2444.18-110.507d,+200000+0j,+60
2013-08-28 01:20:00 PST,+2445.69-110.411d,+210000+0j,+60
2013-08-28 01:40:00 PST,+2445.7-110.411d,+210000+0j,+60
2013-08-28 02:00:00 PST,+2445.72-110.41d,+210000+0j,+60
2013-08-28 02:20:00 PST,+2445.72-110.409d,+210000+0j,+60
2013-08-28 02:40:00 PST,+2445.6-110.39d,+210000+0j,+60
2013-08-28 03:00:00 PST,+2446.16-110.38d,+210000+0j,+60
2013-08-28 03:20:00 PST,+2446.15-110.399d,+210000+0j,+60
2013-08-28 03:40:00 PST,+2443.23-110.448d,+210000+0j,+60
2013-08-28 04:00:00 PST,+2445.7-110.41d,+210000+0j,+60
