# file...... output/1c_IEEE_123_feeder_0_EV3.csv
# date...... Wed Dec  3 16:00:18 2025
# user...... (null)
# host...... (null)
# target.... load 810
# trigger... (none)
# interval.. 1200
# limit..... 0
# timestamp,measured_voltage_A,constant_power_A,measured_frequency_A
2013-08-28 00:00:00 PST,+2430.73-4.33106d,+200000+0j,+60
2013-08-28 00:20:00 PST,+2461.12+5.71297d,+200000+0j,+60
2013-08-28 00:40:00 PST,+2412.17+2.49253d,+600000+0j,+60
2013-08-28 01:00:00 PST,+2413.81+2.53858d,+600000+0j,+60
2013-08-28 01:20:00 PST,+2423.02+5.86336d,+200000+0j,+60
2013-08-28 01:40:00 PST,+2423.08+5.86564d,+200000+0j,+60
2013-08-28 02:00:00 PST,+2423.97+5.88954d,+200000+0j,+60
2013-08-28 02:20:00 PST,+2424.21+5.89593d,+200000+0j,+60
2013-08-28 02:40:00 PST,+2447.35+5.6718d,+200000+0j,+60
2013-08-28 03:00:00 PST,+2448.91+5.4701d,+200000+0j,+60
2013-08-28 03:20:00 PST,+2368.17+5.6836d,+200000+0j,+60
2013-08-28 03:40:00 PST,+2421.64+6.57561d,+200000+0j,+60
2013-08-28 04:00:00 PST,+2423.67+5.88086d,+200000+0j,+60
