# file...... output/1c_IEEE_123_feeder_0_EV4.csv
# date...... Wed Dec  3 16:00:18 2025
# user...... (null)
# host...... (null)
# target.... load 801
# trigger... (none)
# interval.. 1200
# limit..... 0
# timestamp,measured_voltage_C,constant_power_C,measured_frequency_C
2013-08-28 00:00:00 PST,+2342.01+115.042d,+200000+0j,+60
2013-08-28 00:20:00 PST,+2372.71+125.124d,+200000+0j,+60
2013-08-28 00:40:00 PST,+2356.27+124.194d,+600000+0j,+60
2013-08-28 01:00:00 PST,+2342.54+124.188d,+600000+0j,+60
2013-08-28 01:20:00 PST,+2428+127.346d,+210000+0j,+60
2013-08-28 01:40:00 PST,+2413.1+127.345d,+210000+0j,+60
2013-08-28 02:00:00 PST,+2413.75+127.359d,+210000+0j,+60
2013-08-28 02:20:00 PST,+2413.92+127.362d,+210000+0j,+60
2013-08-28 02:40:00 PST,+2406.5+127.222d,+210000+0j,+60
2013-08-28 03:00:00 PST,+2411.29+127.492d,+210000+0j,+60
2013-08-28 03:20:00 PST,+2433.28+127.624d,+210000+0j,+60
2013-08-28 03:40:00 PST,+2499.14+126.695d,+210000+0j,+60
2013-08-28 04:00:00 PST,+2428.48+127.355d,+210000+0j,+60
