# file...... output/1c_IEEE_123_feeder_0_EV5.csv
# date...... Mon Aug 18 17:47:09 2025
# user...... (null)
# host...... (null)
# target.... load 797
# trigger... (none)
# interval.. 1200
# limit..... 0
# timestamp,measured_voltage_B,constant_power_B,measured_frequency_B
2013-08-28 00:00:00 PST,+2456.5-120.23d,+0+0j,+60
2013-08-28 00:20:00 PST,+2457.13-110.184d,+0+0j,+60
2013-08-28 00:40:00 PST,+2444.7-110.716d,+0+0j,+60
2013-08-28 01:00:00 PST,+2444.62-110.71d,+0+0j,+60
2013-08-28 01:20:00 PST,+2444.94-110.699d,+0+0j,+60
2013-08-28 01:40:00 PST,+2444.98-110.697d,+0+0j,+60
2013-08-28 02:00:00 PST,+2444.27-110.683d,+0+0j,+60
2013-08-28 02:20:00 PST,+2444.35-110.68d,+0+0j,+60
2013-08-28 02:40:00 PST,+2444.34-110.681d,+0+0j,+60
2013-08-28 03:00:00 PST,+2445.32-110.684d,+0+0j,+60
2013-08-28 03:20:00 PST,+2445.31-110.684d,+0+0j,+60
2013-08-28 03:40:00 PST,+2445.64-110.672d,+0+0j,+60
2013-08-28 04:00:00 PST,+2442.9-110.823d,+15000+0j,+60
2013-08-28 04:20:00 PST,+2443.3-110.808d,+15000+0j,+60
2013-08-28 04:40:00 PST,+2442.88-110.824d,+15000+0j,+60
2013-08-28 05:00:00 PST,+2443.04-110.969d,+30000+0j,+60
2013-08-28 05:20:00 PST,+2443.35-110.967d,+30000+0j,+60
2013-08-28 05:40:00 PST,+2443.22-110.972d,+30000+0j,+60
2013-08-28 06:00:00 PST,+2445.27-111.052d,+37500+0j,+60
2013-08-28 06:20:00 PST,+2444.39-111.087d,+37500+0j,+60
2013-08-28 06:40:00 PST,+2444.07-111.099d,+37500+0j,+60
2013-08-28 07:00:00 PST,+2464.73-111.194d,+52500+0j,+60
2013-08-28 07:20:00 PST,+2434.68-111.219d,+52500+0j,+60
2013-08-28 07:40:00 PST,+2433.19-111.297d,+52500+0j,+60
2013-08-28 08:00:00 PST,+2433.33-111.342d,+52500+0j,+60
2013-08-28 08:20:00 PST,+2430.87-111.437d,+52500+0j,+60
2013-08-28 08:40:00 PST,+2444.6-111.504d,+52500+0j,+60
2013-08-28 09:00:00 PST,+2444.74-111.601d,+52500+0j,+60
2013-08-28 09:20:00 PST,+2443.71-111.645d,+52500+0j,+60
2013-08-28 09:40:00 PST,+2443.81-111.641d,+52500+0j,+60
2013-08-28 10:00:00 PST,+2440.51-111.817d,+60000+0j,+60
2013-08-28 10:20:00 PST,+2439.3-111.869d,+60000+0j,+60
2013-08-28 10:40:00 PST,+2450.43-112.006d,+60000+0j,+60
2013-08-28 11:00:00 PST,+2454.98-111.828d,+67500+0j,+60
2013-08-28 11:20:00 PST,+2438.2-111.941d,+67500+0j,+60
2013-08-28 11:40:00 PST,+2439.13-111.885d,+67500+0j,+60
2013-08-28 12:00:00 PST,+2433.47-112.066d,+73500+0j,+60
2013-08-28 12:20:00 PST,+2431.71-112.171d,+73500+0j,+60
2013-08-28 12:40:00 PST,+2430.36-112.209d,+73500+0j,+60
2013-08-28 13:00:00 PST,+2389.31-112.299d,+75000+0j,+60
2013-08-28 13:20:00 PST,+2441.47-112.397d,+75000+0j,+60
2013-08-28 13:40:00 PST,+2440.99-112.425d,+75000+0j,+60
2013-08-28 14:00:00 PST,+2429.86-112.763d,+82500+0j,+60
2013-08-28 14:20:00 PST,+2429.23-112.806d,+82500+0j,+60
2013-08-28 14:40:00 PST,+2442.89-112.859d,+82500+0j,+60
2013-08-28 15:00:00 PST,+2446.27-112.804d,+75000+0j,+60
2013-08-28 15:20:00 PST,+2434.87-112.686d,+75000+0j,+60
2013-08-28 15:40:00 PST,+2433.93-112.731d,+75000+0j,+60
2013-08-28 16:00:00 PST,+2433.29-112.738d,+75000+0j,+60
2013-08-28 16:20:00 PST,+2434.92-112.688d,+75000+0j,+60
2013-08-28 16:40:00 PST,+2434.74-112.666d,+75000+0j,+60
2013-08-28 17:00:00 PST,+2471.81-112.523d,+73500+0j,+60
2013-08-28 17:20:00 PST,+2446.99-112.441d,+73500+0j,+60
2013-08-28 17:40:00 PST,+2449.26-112.335d,+73500+0j,+60
2013-08-28 18:00:00 PST,+2446.48-112.212d,+60000+0j,+60
2013-08-28 18:20:00 PST,+2449.91-112.069d,+60000+0j,+60
2013-08-28 18:40:00 PST,+2452.38-111.966d,+60000+0j,+60
2013-08-28 19:00:00 PST,+2432.83-111.713d,+48750+0j,+60
2013-08-28 19:20:00 PST,+2434.28-111.657d,+48750+0j,+60
2013-08-28 19:40:00 PST,+2434.55-111.626d,+48750+0j,+60
2013-08-28 20:00:00 PST,+2437.19-111.421d,+37500+0j,+60
2013-08-28 20:20:00 PST,+2437.57-111.406d,+37500+0j,+60
2013-08-28 20:40:00 PST,+2437.23-111.419d,+37500+0j,+60
2013-08-28 21:00:00 PST,+2438.32-111.355d,+30000+0j,+60
2013-08-28 21:20:00 PST,+2440.7-111.28d,+30000+0j,+60
2013-08-28 21:40:00 PST,+2441.78-111.219d,+30000+0j,+60
2013-08-28 22:00:00 PST,+2443.32-111.059d,+15000+0j,+60
2013-08-28 22:20:00 PST,+2444.72-111.002d,+15000+0j,+60
2013-08-28 22:40:00 PST,+2445.34-110.976d,+15000+0j,+60
2013-08-28 23:00:00 PST,+2426.11-110.968d,+7500+0j,+60
2013-08-28 23:20:00 PST,+2454.19-111.016d,+7500+0j,+60
2013-08-28 23:40:00 PST,+2454.24-111d,+7500+0j,+60
