# file...... output/1c_IEEE_123_feeder_0_EV6.csv
# date...... Wed Dec  3 16:00:18 2025
# user...... (null)
# host...... (null)
# target.... load 793
# trigger... (none)
# interval.. 1200
# limit..... 0
# timestamp,constant_power_A, voltage_A,measured_frequency_A
2013-08-28 00:00:00 PST,+210000+0j,+2359.21-208.705j,+60
2013-08-28 00:20:00 PST,+210000+0j,+2390.42+209.505j,+60
2013-08-28 00:40:00 PST,+210000+0j,+2362.45+133.277j,+60
2013-08-28 01:00:00 PST,+210000+0j,+2364.05+135.266j,+60
2013-08-28 01:20:00 PST,+210000+0j,+2364.61+212.06j,+60
2013-08-28 01:40:00 PST,+210000+0j,+2364.6+212.174j,+60
2013-08-28 02:00:00 PST,+210000+0j,+2365.53+213.385j,+60
2013-08-28 02:20:00 PST,+210000+0j,+2365.77+213.709j,+60
2013-08-28 02:40:00 PST,+210000+0j,+2381.54+209.852j,+60
2013-08-28 03:00:00 PST,+210000+0j,+2383.02+204.331j,+60
2013-08-28 03:20:00 PST,+210000+0j,+2309.34+201.425j,+60
2013-08-28 03:40:00 PST,+210000+0j,+2361.83+238.547j,+60
2013-08-28 04:00:00 PST,+210000+0j,+2365.28+212.943j,+60
